Wed Nov 05 2025 10:44:15 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/groups 200 - 7.846 ms
Wed Nov 05 2025 10:44:15 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/categories 200 - 8.936 ms
Wed Nov 05 2025 10:44:15 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/users/profile 200 - 11.424 ms
Wed Nov 05 2025 10:44:15 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/contest/active/list?categoryId=68f5dacd3e9929e57d16319a 200 - 5.470 ms
Wed Nov 05 2025 10:44:16 [SERVER-NAME] info: 10.10.7.14 - GET /image/5ba768a3d5cf7c166767cee657db2d59-1762254706786.jpg 200 - 0.918 ms
Wed Nov 05 2025 10:44:16 [SERVER-NAME] info: 10.10.7.14 - GET /image/5ba768a3d5cf7c166767cee657db2d59-1762254706786.jpg 200 - 0.458 ms
Wed Nov 05 2025 10:45:59 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/settings?key=social 200 - 5.566 ms
Wed Nov 05 2025 10:45:59 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/groups 200 - 6.428 ms
Wed Nov 05 2025 10:45:59 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/categories 200 - 8.785 ms
Wed Nov 05 2025 10:45:59 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/users/profile 200 - 11.604 ms
Wed Nov 05 2025 10:46:0 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/contest/active/list?categoryId=68f5dacd3e9929e57d16319a 200 - 7.689 ms
Wed Nov 05 2025 10:46:0 [SERVER-NAME] info: 10.10.7.14 - GET /image/5ba768a3d5cf7c166767cee657db2d59-1762254706786.jpg 200 - 0.826 ms
Wed Nov 05 2025 10:46:0 [SERVER-NAME] info: 10.10.7.14 - GET /image/5ba768a3d5cf7c166767cee657db2d59-1762254706786.jpg 200 - 0.543 ms
Wed Nov 05 2025 10:46:0 [SERVER-NAME] info: 10.10.7.14 - GET /image/cosmos-atos-keycap-press-button-close-up-crypto-currency-3d-illustration-render_476123-904-1760943054838.jpg 200 - 0.484 ms
Wed Nov 05 2025 10:48:56 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/settings?key=social 200 - 6.632 ms
Wed Nov 05 2025 10:48:56 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/groups 200 - 7.451 ms
Wed Nov 05 2025 10:48:56 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/users/profile 200 - 11.950 ms
